to,pcts,icds,urban,id,from
1289,ALW-BHR-DAW-001,8104030315,FALSE,2120,1289
1288,ALW-BHR-DAW-002,8104030311,FALSE,2119,1288
1288,ALW-BHR-DAW-003,8104030312,FALSE,2121,1288
1239,ALW-BHR-BDH-003,8104030313,FALSE,2122,1239
1290,ALW-BHR-KHT-001,8104030326,FALSE,2123,1290
1239,ALW-BHR-BDH-005,8104030314,FALSE,2124,1239
1292,ALW-BHR-MNC-001,8104030317,FALSE,2125,1292
1292,ALW-BHR-MNC-002,8104030318,FALSE,2126,1292
1292,ALW-BHR-MNC-003,8104030319,FALSE,2127,1292
1293,ALW-BHR-RIW-002,8104030304,FALSE,2129,1293
1293,ALW-BHR-RIW-001,8104030303,FALSE,2130,1293
1293,ALW-BHR-RIW-006,8104030329,FALSE,2128,1293
1295,ALW-BHR-CHN-001,8104030427,FALSE,2136,1295
1296,ALW-BHR-CHN-002,8104030426,FALSE,2135,1296
1298,ALW-BHR-DHN-004,8104030425,FALSE,2137,1298
1297,ALW-BHR-DHN-002,8104030419,FALSE,2138,1297
1297,ALW-BHR-DHN-001,8104030418,FALSE,2139,1297
1297,ALW-BHR-DHN-003,8104030420,FALSE,2140,1297
1301,ALW-BHR-KHH-003,8104030414,FALSE,2150,1301
1301,ALW-BHR-KHH-001,8104030412,FALSE,2149,1301
1301,ALW-BHR-KHH-002,8104030413,FALSE,2151,1301
1303,ALW-BHR-SHV-003,8104030417,FALSE,2154,1303
1302,ALW-BHR-SHV-002,8104030415,FALSE,2152,1302
1303,ALW-BHR-SHV-001,8104030416,FALSE,2153,1303
1304,ALW-BHR-DAH-001,8104030322,FALSE,2155,1304
1304,ALW-BHR-DAH-002,8104030320,FALSE,2157,1304
1304,ALW-BHR-DAH-003,8104030321,FALSE,2156,1304
1306,ALW-BHR-RIW-003,8104030305,FALSE,2164,1306
1306,ALW-BHR-RIW-005,8104030307,FALSE,2159,1306
1306,ALW-BHR-RIW-004,8104030306,FALSE,2158,1306
1307,ALW-BHR-GJR-001,8104030517,FALSE,2165,1307
1308,ALW-BHR-ISL-001,8104030516,FALSE,2166,1308
40843,ALW-BHR-TLW-002,8104030504,FALSE,2175,40843
40843,ALW-BHR-TLW-003,8104030505,FALSE,82710,40843
1311,ALW-BHR-NGL-001,8104030520,FALSE,2172,1311
1310,ALW-BHR-JGW-003,8104030503,FALSE,2168,1310
1314,ALW-BHR-TLW-001,8104030506,FALSE,2173,1314
1317,ALW-BHR-ANN-001,8104030620,FALSE,2179,1317
1315,ALW-BHR-ANN-003,8104030618,FALSE,2178,1315
