to,from,Village Census code,Id,,,,,,
14187,14187,77276,31552,,,,,,
14174,14175,77336,31521,,,,,,
14176,14180,77345,31534,,,,,,
11729,11729,76254,26454,,,,,,
11772,11772,71959,26553,,,,,,
11736,11736,76203,26474,,,,,,
11736,11736,76202,26475,,,,,,
11732,11737,76186,26476,,,,,,
11765,11765,76188,26536,,,,,,
19339,19339,78310,31768,,,,,,
11729,11729,76277,26455,,,,,,
11729,11729,76257,26456,,,,,,
11732,11737,76185,26477,,,,,,
14208,14208,77206,31605,,,,,,
11460,11460,76367,25809,,,,,,
11480,11480,76349,25849,,,,,,
11766,11766,76220,26538,,,,,,
19431,19431,77346,31539,,,,,,
11769,11769,76193,26544,,,,,,
11760,11760,76332,26527,,,,,,
14176,14176,77304,31522,,,,,,
19436,19436,72847,31606,,,,,,
19327,19327,78626,31755,,,,,,
14177,14177,73274,31523,,,,,,
11741,11741,76241,26485,,,,,,
11487,11487,76413,25862,,,,,,
14280,14280,77134,31745,,,,,,
14278,14278,77167,31742,,,,,,
11464,11464,77941,25820,,,,,,
14308,14308,77122,31787,,,,,,
11745,11749,76299,26500,,,,,,
14308,14308,77123,31788,,,,,,
14202,14202,77288,31588,,,,,,
14309,14309,77114,31789,,,,,,
14310,14310,77125,31791,,,,,,
14333,14333,77100,31828,,,,,,
11488,11488,76417,25864,,,,,,
14311,14311,77127,31793,,,,,,
11752,11752,76204,26509,,,,,,
14198,14198,73196,31575,,,,,,
11782,11782,76223,26579,,,,,,
11481,11481,76371,25850,,,,,,
11456,11456,101566,25802,,,,,,
11473,11473,76382,25836,,,,,,
14189,14189,77252,31557,,,,,,
11767,11767,76189,26541,,,,,,
19435,19435,77292,31589,,,,,,
11753,11753,76293,26514,,,,,,
19309,19309,76268,26459,,,,,,
14332,11490,76418,25866,,,,,,
11457,11457,76346,25805,,,,,,
14289,14289,77156,31763,,,,,,
14327,14327,77112,31821,,,,,,
14309,14309,10315,31790,,,,,,
11747,11747,76237,26497,,,,,,
19442,19442,77136,31818,,,,,,
11732,11732,76273,26462,,,,,,
14190,14190,77224,31558,,,,,,
11780,11780,76256,26573,,,,,,
11731,11643,102757,26288,,,,,,
14186,14186,77271,31550,,,,,,
11770,11720,76264,26434,,,,,,
14205,14205,77259,31596,,,,,,
14188,14188,77298,31554,,,,,,
14188,14188,77299,31555,,,,,,
11732,11732,98874,26463,,,,,,
11489,11489,76424,25865,,,,,,
14332,11490,76419,25867,,,,,,
11478,11561,73279,26016,,,,,,
11734,11734,75118,42467,,,,,,
11475,11475,76378,25840,,,,,,
11767,11767,76191,26542,,,,,,
11465,11465,76352,25825,,,,,,
11771,11771,97860,26550,,,,,,
14177,14177,77324,31524,,,,,,
11747,14401,91519,44586,,,,,,
11776,11776,76266,26563,,,,,,
14181,14181,96201,31537,,,,,,
14196,14196,96201,31572,,,,,,
11456,11456,94181,25803,,,,,,
11496,11496,76431,25877,,,,,,
19431,14185,77295,31546,,,,,,
14190,14190,77221,31559,,,,,,
14201,14201,77323,31587,,,,,,
11462,11462,76362,25813,,,,,,
19433,19433,95589,31564,,,,,,
14279,14279,77161,31744,,,,,,
11484,11484,76411,25855,,,,,,
14318,14318,93936,31802,,,,,,
14280,14280,78535,31746,,,,,,
11468,11474,76401,25838,,,,,,
11472,11472,76376,25835,,,,,,
11754,11754,93873,26515,,,,,,
19433,14197,69664,47433,,,,,,
14186,14191,77229,31560,,,,,,
19435,14207,77256,31601,,,,,,
14321,14370,95430,31895,,,,,,
11754,11754,0,26516,,,,,,
11781,11781,76228,26575,,,,,,
14178,14178,77330,31528,,,,,,
14178,14178,77328,31529,,,,,,
20772,20772,77121,31822,,,,,,
14312,14312,77117,31794,,,,,,
11481,11481,76405,25851,,,,,,
11482,11482,76409,25852,,,,,,
14182,14182,74988,31540,,,,,,
14319,14319,77178,31803,,,,,,
11738,11738,76201,26479,,,,,,
19431,19431,77347,31535,,,,,,
11473,11473,76381,25837,,,,,,
11748,11748,76239,26498,,,,,,
11752,11752,73690,26510,,,,,,
11483,11483,76402,25853,,,,,,
19327,19327,0,46701,,,,,,
14192,14192,87444,31563,,,,,,
11763,11763,73788,26531,,,,,,
11741,11741,76238,26486,,,,,,
14303,14303,77108,31780,,,,,,
11766,11766,73800,26539,,,,,,
11770,11770,75281,26547,,,,,,
11772,11772,101024,26554,,,,,,
11755,11755,76288,26517,,,,,,
14322,14322,77177,31808,,,,,,
11745,11749,93938,26502,,,,,,
11771,11771,76305,26551,,,,,,
14183,14183,77344,31542,,,,,,
11468,11474,76383,25839,,,,,,
19327,14291,77084,31765,,,,,,
11745,14383,72680,31915,,,,,,
14328,14328,77129,31823,,,,,,
14333,14333,74816,31829,,,,,,
20772,11555,0,41619,,,,,,
14304,14304,100968,31781,,,,,,
14319,14319,77195,31804,,,,,,
11747,11750,72643,26506,,,,,,
11696,11696,73533,25828,,,,,,
11471,11471,103043,25833,,,,,,
14203,14203,77279,31592,,,,,,
11748,11748,97949,26499,,,,,,
14296,14296,103463,31772,,,,,,
14295,14295,77080,31769,,,,,,
11734,14482,78264,32064,,,,,,
11735,11735,76315,26471,,,,,,
14298,14298,77095,31774,,,,,,
11777,11777,73642,26565,,,,,,
14288,14288,77143,31760,,,,,,
11491,11491,76425,25868,,,,,,
11496,11496,76435,25878,,,,,,
14186,11720,101564,26436,,,,,,
19308,19308,76322,26526,,,,,,
14331,14331,77089,31826,,,,,,
14193,14193,77243,31565,,,,,,
14316,14316,91393,31799,,,,,,
14186,14186,77272,31551,,,,,,
14209,14209,94178,31607,,,,,,
11743,11743,76248,26489,,,,,,
14205,14205,98499,31597,,,,,,
11468,11468,76396,25829,,,,,,
14320,14320,77175,31805,,,,,,
19436,14276,77170,31739,,,,,,
19435,19435,91581,31525,,,,,,
11483,11483,76437,25854,,,,,,
11772,11772,76301,26555,,,,,,
14282,14282,74433,31748,,,,,,
